PART NUMBER,FAMILIA,TIPO,CLASSE,LARGURA,ORGANIZACAO,PROVA,EMPILHADO,CAPACIDADE,CONFIDENCE,REVIEW,FONTE,OBS
JZ109,JZ1,eMCP,managed_mcp,,,fora do alvo,,None,manual,approved,,classe 'managed_mcp' — largura nao se aplica
JZ177,JZ1,uMCP,managed_mcp,,,fora do alvo,,None,manual,approved,,classe 'managed_mcp' — largura nao se aplica
JZ185,JZ1,eMCP,managed_mcp,,,fora do alvo,,None,manual,approved,,classe 'managed_mcp' — largura nao se aplica
JZ186,JZ1,uMCP,managed_mcp,,,fora do alvo,,None,manual,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C1G12MAACAEAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAACAFAKD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAACVAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAACYAKD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAACYAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAADAFAKD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAADAFAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAADVAMD-5 E IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAADVAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAADYAKD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAADYAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAAIVAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAAIYAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAAJVAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAAJYAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G12MAURAJA-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAACAAAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAACAUAMD-5 IT,MT2,eMCP,managed_mcp,,,fora do alvo,,,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C1G56MAACZAKC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAACZAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAADAAAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAADAUAMD-5 IT,MT2,eMCP,managed_mcp,,,fora do alvo,,,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C1G56MAADZAKC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAADZAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MACEAJC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MACEAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MACFAHZ-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MACFAHZ-8 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MACFAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MADEAJC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MADEAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MADFAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUAAAJC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUAAAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUAAAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUAAAMD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUAVAKD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUAVAMD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUZAJC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUZAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUZAKD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUZAKD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAUZAMD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAAAJC-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAAAJC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAAAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAAAJH-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAAAJH-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAAAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAUAKD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAUAMD-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAUAMD-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAUAMD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAVAKD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVAVAMD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVZAJC-6 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVZAJC-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C1G56MAVZAMD-75 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAAGBAAKS-5 WT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAAGBBAKS-48 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAAGBBAKS-48 WT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAAHBAAKS-5 WT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAYBAAKS-5 WT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAYBBAHK-48 AIT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAYBBAKS-48 IT,MT2,MCP,catalog,,,fora do alvo,,768MB,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAYBBAKS-48 IT ES,MT2,eMCP,managed_mcp,,,fora do alvo,,768MB,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C4G48MAYBBAMR-48 IT,MT2,MCP,catalog,,,fora do alvo,,768MB,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAYBBAMR-48 IT ES,MT2,eMCP,managed_mcp,,,fora do alvo,,768MB,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C4G48MAZAPAKD5EIT,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAKD5IT,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAKD5ITES,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAKD6IT,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAKD6ITES,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAMC-5 IT,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAMC-5 IT ES,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZAPAMC-6 IT,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
MT29C4G48MAZBAAKQ-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAZBAAKQ-5 WT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAZBAAKS-5 WT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAZBBAKB-48 IT,MT2,MCP,catalog,,,fora do alvo,,768MB,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAZBBAKB-48 IT ES,MT2,eMCP,managed_mcp,,,fora do alvo,,768MB,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C4G48MAZBBAKS-48 AT,MT2,eMCP,managed_mcp,,,fora do alvo,,768MB,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C4G48MAZBBAKS-48 IT,MT2,MCP,catalog,,,fora do alvo,,768MB,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29C4G48MAZBBAKS-48 IT ES,MT2,eMCP,managed_mcp,,,fora do alvo,,768MB,confirmed,approved,,classe 'managed_mcp' — largura nao se aplica
MT29C8G96MAZAPDJA-5 IT,MT2,MCP,catalog,,,fora do alvo,,,confirmed,approved,,classe 'catalog' — largura nao se aplica
MT29F1G08ABADAH4-ITX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABADAH4:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAH4-AATX:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAH4-AITX:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAH4:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAWP-AATX:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAWP-AITX:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAWP-IT:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAEAWP:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAFAH4-AAT:F,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAFAH4-AATES:F,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABAFAWP-AAT:F,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBDAH4-ITX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBDAH4:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBDAHC-IT:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBEAH4-AITX:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBEAH4-IT:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBFAH4-AAT:F,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBFAH4-AATES:F,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F1G08ABBFAH4-ITE:F,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,128MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F256G08CBCBBJ4-5M:B,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,32GB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAH4-AATX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAH4-AITX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAH4-IT:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAH4-ITX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAH4:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAWP-AATX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAWP-AITX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAWP-IT:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAWP-ITX:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABADAWP:D,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
MT29F4G08ABAEAH4-IT:E,MT2,NAND Flash,nand_raw,,,NAO IDENTIFICADO,,512MB,confirmed,approved,,familia MT2 sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras); a regra sugere x8
