PART NUMBER,FAMILIA,TIPO,CLASSE,LARGURA,ORGANIZACAO,PROVA,EMPILHADO,CAPACIDADE,CONFIDENCE,REVIEW,FONTE,OBS
K3KL3L30DM,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,8GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL4L40DM,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,12GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL4L40DMBGCT,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,12GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL7L70EMMUCU,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,3GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL8L80CM,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,4GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL8L80DMMGCU,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,2GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL9L90DMMFCU,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,8GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL9L90DMMHCU,K3K,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,8GB,manual,approved,,familia K3K sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL1L10GM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL2L20DM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL3L30CM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL3L30CMBGCU,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL4L40DMBGCU,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL4L40FM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,12GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL5L50CM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,16GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL5L50DM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,16GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL5L50DMBGCU,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,16GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL5L50DMJUCU,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,16GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL6L60GM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL7L70DM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,3GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL8L80DM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL8L80EM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,4GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KL9L90DM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,2GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KLDLD0EM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3KLDLD0FM,K3KL,LPDDR5X,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3KL sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK2K20CM,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK2K20CMBGCP,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK2K20CMJHCP,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,6GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
K3LK3K3,K3L,LPDDR5,dram_mobile,,,NAO IDENTIFICADO,,8GB,confirmed,approved,,familia K3L sem corroboracao suficiente (precisa de 5 concordancias e 2 larguras)
