pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K4B1G0446GBC,K4B1G0446G-BC,K4B1G0446GBC,yes,DDR,DDR3,128MB,1Gb,128MB,DDR3,256Mx4,1.5V,"H9,K0,MA",78,7.5x11mm,FBGA,Base PN (sem speed code). Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0446GBCH9,K4B1G0446G-BCH9,K4B1G0446GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,256Mx4,1.5V,H9,78,7.5x11mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0446GBCK0,K4B1G0446G-BCK0,K4B1G0446GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,256Mx4,1.5V,K0,78,7.5x11mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0446GBCMA,K4B1G0446G-BCMA,K4B1G0446GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,256Mx4,1.5V,MA,78,7.5x11mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0846GBC,K4B1G0846G-BC,K4B1G0846GBC,yes,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx8,1.5V,"H9,K0,MA",78,7.5x11mm,FBGA,Base PN (sem speed code). Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0846GBCH9,K4B1G0846G-BCH9,K4B1G0846GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx8,1.5V,H9,78,7.5x11mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0846GBCK0,K4B1G0846G-BCK0,K4B1G0846GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx8,1.5V,K0,78,7.5x11mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G0846GBCMA,K4B1G0846G-BCMA,K4B1G0846GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx8,1.5V,MA,78,7.5x11mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G1646GBC,K4B1G1646G-BC,K4B1G1646GBC,yes,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx16,1.5V,"H9,K0,MA,NB",96,7.5x13.3mm,FBGA,Base PN (sem speed code). Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G1646GBCH9,K4B1G1646G-BCH9,K4B1G1646GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx16,1.5V,H9,96,7.5x13.3mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
K4B1G1646GBCK0,K4B1G1646G-BCK0,K4B1G1646GBC,no,DDR,DDR3,128MB,1Gb,128MB,DDR3,128Mx16,1.5V,K0,96,7.5x13.3mm,FBGA,Flip Chip,Samsung PSG 2H 2014,confirmed,enriched
