pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KLM8G1WEPD,KLM8G1WEPD,KLM8G1WEPD,yes,eMMC,eMMC 5.0,8GB,,,eMMC 5.0,,3.3V/1.8V,R:130 W:7 MB/s,153,11.5x13.0mm,FBGA,Base PN sem bucket code. MP (Mass Production). IOPS R/W:5000/600. ,Samsung PSG 2H 2014,confirmed,enriched
KLM8G1WEPDB03100,KLM8G1WEPD-B03100,KLM8G1WEPD,no,eMMC,eMMC 5.0,8GB,,,eMMC 5.0,,3.3V/1.8V,R:130 W:7 MB/s,153,11.5x13.0mm,FBGA,Bucket code 00 (PSG 2H 2014 default). MP (Mass Production). IOPS R/W:5000/600. ,Samsung PSG 2H 2014,confirmed,enriched
KLMAG2WEPD,KLMAG2WEPD,KLMAG2WEPD,yes,eMMC,eMMC 5.0,16GB,,,eMMC 5.0,,3.3V/1.8V,R:150 W:12 MB/s,153,11.5x13.0mm,FBGA,Base PN sem bucket code. MP. IOPS R/W:5000/1200. ,Samsung PSG 2H 2014,confirmed,enriched
KLMAG2WEPDB03100,KLMAG2WEPD-B03100,KLMAG2WEPD,no,eMMC,eMMC 5.0,16GB,,,eMMC 5.0,,3.3V/1.8V,R:150 W:12 MB/s,153,11.5x13.0mm,FBGA,Bucket code 00 (PSG 2H 2014 default). MP. IOPS R/W:5000/1200. ,Samsung PSG 2H 2014,confirmed,enriched
KLMBG4WEBD,KLMBG4WEBD,KLMBG4WEBD,yes,eMMC,eMMC 5.0,32GB,,,eMMC 5.0,,3.3V/1.8V,R:250 W:45 MB/s,153,11.5x13.0mm,FBGA,Base PN sem bucket code. Sampling Q1'15. IOPS R/W:TBD. ,Samsung PSG 2H 2014,confirmed,enriched
KLMBG4WEBDB03100,KLMBG4WEBD-B03100,KLMBG4WEBD,no,eMMC,eMMC 5.0,32GB,,,eMMC 5.0,,3.3V/1.8V,R:250 W:45 MB/s,153,11.5x13.0mm,FBGA,Bucket code 00 (PSG 2H 2014 default). Sampling Q1'15. IOPS R/W:TBD. ,Samsung PSG 2H 2014,confirmed,enriched
KLMCG8WEBD,KLMCG8WEBD,KLMCG8WEBD,yes,eMMC,eMMC 5.0,64GB,,,eMMC 5.0,,3.3V/1.8V,R:250 W:45 MB/s,153,11.5x13.0mm,FBGA,Base PN sem bucket code. Sampling Q1'15. IOPS R/W:TBD. ,Samsung PSG 2H 2014,confirmed,enriched
KLMCG8WEBDB03100,KLMCG8WEBD-B03100,KLMCG8WEBD,no,eMMC,eMMC 5.0,64GB,,,eMMC 5.0,,3.3V/1.8V,R:250 W:45 MB/s,153,11.5x13.0mm,FBGA,Bucket code 00 (PSG 2H 2014 default). Sampling Q1'15. IOPS R/W:TBD. ,Samsung PSG 2H 2014,confirmed,enriched
KLM4G1FEPD,KLM4G1FEPD,KLM4G1FEPD,yes,eMMC,eMMC 5.0,4GB,,,eMMC 5.0,,3.3V/1.8V,R:TBD W:TBD MB/s,153,11.0x10.0mm,FBGA,Base PN sem bucket code. Sampling Q1'15. IOPS R/W:TBD. High-Performance eMMC,Samsung PSG 2H 2014,confirmed,enriched
KLM4G1FEPDB03100,KLM4G1FEPD-B03100,KLM4G1FEPD,no,eMMC,eMMC 5.0,4GB,,,eMMC 5.0,,3.3V/1.8V,R:TBD W:TBD MB/s,153,11.0x10.0mm,FBGA,Bucket code 00 (PSG 2H 2014 default). Sampling Q1'15. IOPS R/W:TBD. High-Performance eMMC,Samsung PSG 2H 2014,confirmed,enriched
