pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K4P4G324EQAGC2,K4P4G324EQ-AGC2,K4P4G324EQAGC2,yes,LPDDR2,LPDDR2 Mobile,512MB,4Gb,512MB,LPDDR2,1CH x32,1.8V/1.2V,1066,168,12x12mm,FBGA,"PoP, SDP",Samsung PSG 2H 2014,confirmed,enriched
K4P4G324EQFGC2,K4P4G324EQ-FGC2,K4P4G324EQFGC2,yes,LPDDR2,LPDDR2 Mobile,512MB,4Gb,512MB,LPDDR2,1CH x32,1.8V/1.2V,1066,134,11x11.5mm,FBGA,SDP,Samsung PSG 2H 2014,confirmed,enriched
K4P8G304EQAGC2,K4P8G304EQ-AGC2,K4P8G304EQAGC2,yes,LPDDR2,LPDDR2 Mobile,1GB,8Gb,1GB,LPDDR2,1CH x32,1.8V/1.2V,1066,168,12x12mm,FBGA,"PoP, DDP",Samsung PSG 2H 2014,confirmed,enriched
K4P8G304EQPGC2,K4P8G304EQ-PGC2,K4P8G304EQPGC2,yes,LPDDR2,LPDDR2 Mobile,1GB,8Gb,1GB,LPDDR2,1CH x32,1.8V/1.2V,1066,216,12x12mm,FBGA,"PoP, DDP",Samsung PSG 2H 2014,confirmed,enriched
K3PE7E70QMBGC2,K3PE7E70QM-BGC2,K3PE7E70QMBGC2,yes,LPDDR2,LPDDR2 Mobile,1GB,8Gb,1GB,LPDDR2,2CH x32,1.8V/1.2V,1066,216,12x12mm,FBGA,"PoP, DDP. K3=multi-channel PoP",Samsung PSG 2H 2014,confirmed,enriched
K3PE7E70QMCGC2,K3PE7E70QM-CGC2,K3PE7E70QMCGC2,yes,LPDDR2,LPDDR2 Mobile,1GB,8Gb,1GB,LPDDR2,2CH x32,1.8V/1.2V,1066,220,14x14mm,FBGA,"PoP, DDP. K3=multi-channel PoP",Samsung PSG 2H 2014,confirmed,enriched
K4P2E304EQAGC2,K4P2E304EQ-AGC2,K4P2E304EQAGC2,yes,LPDDR2,LPDDR2 Mobile,1.5GB,12Gb,1.5GB,LPDDR2,1CH x32,1.8V/1.2V,1066,168,12x12mm,FBGA,"PoP, TDP (Triple Die Package)",Samsung PSG 2H 2014,confirmed,enriched
K4PAG304EQAGC2,K4PAG304EQ-AGC2,K4PAG304EQAGC2,yes,LPDDR2,LPDDR2 Mobile,2GB,16Gb,2GB,LPDDR2,1CH x32,1.8V/1.2V,1066,168,12x12mm,FBGA,"PoP, QDP (Quad Die Package)",Samsung PSG 2H 2014,confirmed,enriched
K3PE0E00QMBGC2,K3PE0E00QM-BGC2,K3PE0E00QMBGC2,yes,LPDDR2,LPDDR2 Mobile,2GB,16Gb,2GB,LPDDR2,2CH x32,1.8V/1.2V,1066,216,12x12mm,FBGA,"PoP, QDP. K3=multi-channel PoP",Samsung PSG 2H 2014,confirmed,enriched
K3PE0E00QMCGC2,K3PE0E00QM-CGC2,K3PE0E00QMCGC2,yes,LPDDR2,LPDDR2 Mobile,2GB,16Gb,2GB,LPDDR2,2CH x32,1.8V/1.2V,1066,220,14x14mm,FBGA,"PoP, QDP. K3=multi-channel PoP",Samsung PSG 2H 2014,confirmed,enriched
