pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KMRP60014M,KMRP60014M-B614,KMRP60014M,yes,eMCP,LPDDR3 + eMMC 5.1,64GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,221,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=P6 → 64GB eMMC + 4GB LPDDR3. 221-ball FBGA. Sufixo -B614. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMQD60013M,KMQD60013M-B318,KMQD60013M,yes,eMCP,LPDDR3 + eMMC 5.1,32GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=D6 → 32GB eMMC + 3GB LPDDR3. Chip físico eMiner 2026-05-13 confirma 3GB RAM. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMQE60013M,KMQE60013M-B318,KMQE60013M,yes,eMCP,LPDDR3 + eMMC 5.1,16GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=E6 → 16GB eMMC + 2GB LPDDR3. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMQE60013B,KMQE60013B-B318,KMQE60013B,yes,eMCP,LPDDR3 + eMMC 5.1,16GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=E6 → 16GB eMMC + 2GB LPDDR3. Variante Mass Production. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMQX60013A,KMQX60013A-B419,KMQX60013A,yes,eMCP,LPDDR3 + eMMC 5.1,32GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=X1 → 32GB eMMC + 2GB LPDDR3. Sufixo -B419. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMGP6001BA,KMGP6001BA-B514,KMGP6001BA,yes,eMCP,LPDDR3 + eMMC 5.1,64GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=P6 → 64GB eMMC + ~2-3GB LPDDR3. ⚠ SAM_EMCP_CAP P6=64GB+4GB (âncora KMD/LPDDR4X). KMG usa P6 com 3GB RAM (KMGP6001BM ✓); BA pode ser variante 2GB. Verificar fisicamente. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMGP6001BM,KMGP6001BM-B514,KMGP6001BM,yes,eMCP,LPDDR3 + eMMC 5.1,64GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=P6 → 64GB eMMC + 3GB LPDDR3 (24Gb). ⚠ SAM_EMCP_CAP P6=64GB+4GB (âncora KMD). KMG com P6 usa 3GB — exceção corrigida via fix_known_parts. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMFE60012M,KMFE60012M-B214,KMFE60012M,yes,eMCP,LPDDR3 + eMMC 5.1,16GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=E6 → 16GB eMMC + 1GB LPDDR3 (8Gb). ⚠ SAM_EMCP_CAP E6=16GB+2GB — KMFE60012M tem 1GB. pn[7]='2' indica densidade baixa (1Gb×8=8Gb=1GB). Corrigir via fix_known_parts. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMFE60012A,KMFE60012A-B214,KMFE60012A,yes,eMCP,LPDDR3 + eMMC 5.1,16GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=E6 → 16GB eMMC + 1GB LPDDR3 (8Gb). Variante A. ⚠ SAM_EMCP_CAP E6=16GB+2GB — 1GB real. Corrigir via fix_known_parts. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KMQE10013M,KMQE10013M-B318,KMQE10013M,yes,eMCP,LPDDR3 + eMMC 5.1,16GB,,,eMMC 5.1,,3.3V/1.8V/1.2V,1866,221,,FBGA,eMCP eMMC 5.1 + LPDDR3-1866. pn[3:5]=E1 → 16GB eMMC + 2GB LPDDR3 (16Gb). SAM_EMCP_CAP E1=16GB+2GB ✓. 221-ball FBGA. Galaxy J5/J7 Moto G. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
