pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KLMAG1JENB,KLMAG1JENB-B041,KLMAG1JENB,yes,eMMC,eMMC 5.1 Samsung,16GB,128,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. A=16GB. pn[6]=J (1ynm). Nova variante pós-PSG 1H2017. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMAG2GEND,KLMAG2GEND-B041,KLMAG2GEND,yes,eMMC,eMMC 5.1 Samsung,16GB,128,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. A=16GB. pn[6]=G (geração G — nova revisão de processo ~2017-2019). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMBG2JENB,KLMBG2JENB-B041,KLMBG2JENB,yes,eMMC,eMMC 5.1 Samsung,32GB,256,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. B=32GB. pn[6]=J (1ynm). Nova variante pós-PSG 1H2017. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMBG4GEND,KLMBG4GEND-B041,KLMBG4GEND,yes,eMMC,eMMC 5.1 Samsung,32GB,256,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. B=32GB. pn[6]=G (geração G). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMCG2KETM,KLMCG2KETM-B041,KLMCG2KETM,yes,eMMC,eMMC 5.1 Samsung,64GB,512,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. C=64GB. pn[6]=K (variante K de processo — eMMC 5.1). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMCG4JENB,KLMCG4JENB-B041,KLMCG4JENB,yes,eMMC,eMMC 5.1 Samsung,64GB,512,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. C=64GB. pn[6]=J (1ynm). Nova variante pós-PSG 1H2017. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMCG8GEND,KLMCG8GEND-B041,KLMCG8GEND,yes,eMMC,eMMC 5.1 Samsung,64GB,512,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. C=64GB. pn[6]=G (geração G ~2017-2019). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMCG2UCTA,KLMCG2UCTA-B041,KLMCG2UCTA,yes,eMMC,eMMC 5.1 Samsung,64GB,512,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. C=64GB. pn[6]=U (geração U ~2019-2021). Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMCG2UCTB,KLMCG2UCTB-B041,KLMCG2UCTB,yes,eMMC,eMMC 5.1 Samsung,64GB,512,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. C=64GB. pn[6]=U (geração U). UCTB = variante B do processo. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KLMCG1RCTE,KLMCG1RCTE-B041,KLMCG1RCTE,yes,eMMC,eMMC 5.1 Samsung,64GB,512,,eMMC 5.1,,3.3V/1.8V,,,,FBGA,eMMC 5.1. C=64GB. pn[6]=R (geração R ~2018-2019). 11.5x13x0.8mm. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
