pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K3QF3F30BMAGCF,K3QF3F30BM-AGCF,K3QF3F30BMAGCF,yes,LPDDR3,LPDDR3,2GB,16,2,LPDDR3,2CH x32,1.8V/1.2V,1866,253,11x11.5mm,FBGA,"LPDDR3 mobile 2CH multi-channel PoP. pn[4]='3' → K3QF_CAP=2GB (16Gb) ✓. Geração B. AGCF package (253-ball, 11x11.5mm). Velocidade 1866 Mbps confirmada PSG 1H 2017 (K3QF3F30BM-FGCF). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K3QF3F30BMAGCG,K3QF3F30BM-AGCG,K3QF3F30BMAGCG,yes,LPDDR3,LPDDR3,2GB,16,2,LPDDR3,2CH x32,1.8V/1.2V,1866,253,11x11.5mm,FBGA,"LPDDR3 mobile 2CH multi-channel PoP. pn[4]='3' → K3QF_CAP=2GB (16Gb) ✓. Geração B. AGCG package (revisão G, 253-ball, 11x11.5mm). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K3QF4F40CMAGCF,K3QF4F40CM-AGCF,K3QF4F40CMAGCF,yes,LPDDR3,LPDDR3,4GB,32,4,LPDDR3,2CH x32,1.8V/1.2V,1866,253,11x11.5mm,FBGA,"LPDDR3 mobile 2CH multi-channel PoP. pn[4]='4' → K3QF_CAP=4GB (32Gb) ✓. Geração C (posterior à geração B do PSG 1H 2017). AGCF package (253-ball, 11x11.5mm). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K3QFAFA0CMAGCF,K3QFAFA0CM-AGCF,K3QFAFA0CMAGCF,yes,LPDDR3,LPDDR3,8GB,64,8,LPDDR3,2CH x32,1.8V/1.2V,1866,253,11x11.5mm,FBGA,"LPDDR3 mobile 2CH multi-channel PoP. pn[4]='A' → K3QF_CAP=8GB (64Gb). ⚠ 'A' era chave inexistente em K3QF_CAP — adicionada com base neste PN (64Gb=8GB confirmado). Geração C. AGCF package (253-ball, 11x11.5mm). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K4E8E324EBEGCG,K4E8E324EB-EGCG,K4E8E324EBEGCG,yes,LPDDR3,LPDDR3,1GB,8,1,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,"LPDDR3 standalone SDP. pn[3:5]='8E' → K4E_CAP=1GB (8Gb) ✓. Revisão B. EGCG package (178-ball, 11x11.5mm). Velocidade 1866 Mbps confirmada PSG 1H 2017 (K4E8E324EB-EGCF). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K4E8E324EDEGCG,K4E8E324ED-EGCG,K4E8E324EDEGCG,yes,LPDDR3,LPDDR3,1GB,8,1,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,"LPDDR3 standalone SDP. pn[3:5]='8E' → K4E_CAP=1GB (8Gb) ✓. Revisão D. EGCG package (178-ball, 11x11.5mm). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K4E6E304EBEGCG,K4E6E304EB-EGCG,K4E6E304EBEGCG,yes,LPDDR3,LPDDR3,2GB,16,2,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,"LPDDR3 standalone DDP. pn[3:5]='6E' → K4E_CAP=2GB (16Gb) ✓. Revisão B. EGCG package (178-ball, 11x11.5mm). Velocidade 1866 Mbps confirmada PSG 1H 2017 (K4E6E304EB-EGCF). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K4E6E304ECEGCG,K4E6E304EC-EGCG,K4E6E304ECEGCG,yes,LPDDR3,LPDDR3,2GB,16,2,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,"LPDDR3 standalone DDP. pn[3:5]='6E' → K4E_CAP=2GB (16Gb) ✓. Revisão C. EGCG package (178-ball, 11x11.5mm). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K4E6E304EDEGCG,K4E6E304ED-EGCG,K4E6E304EDEGCG,yes,LPDDR3,LPDDR3,2GB,16,2,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,"LPDDR3 standalone DDP. pn[3:5]='6E' → K4E_CAP=2GB (16Gb) ✓. Revisão D. EGCG package (178-ball, 11x11.5mm). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
K4EBE304EBEGCG,K4EBE304EB-EGCG,K4EBE304EBEGCG,yes,LPDDR3,LPDDR3,4GB,32,4,LPDDR3,1CH x32,1.8V/1.2V,1866,178,11x11.5mm,FBGA,"LPDDR3 standalone QDP. pn[3:5]='BE' → K4E_CAP=4GB (32Gb) ✓. Revisão B. EGCG package (178-ball, 11x11.5mm). Velocidade 1866 Mbps confirmada PSG 1H 2017 (K4EBE304EB-EGCF). Confirmado Samsung Semiconductor Global.",Samsung Semiconductor Global,confirmed,enriched
