pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K3LKBKB0BMMGCP,K3LKBKB0BM-MGCP,K3LKBKB0BMMGCP,yes,LPDDR5,LPDDR5,4GB,32Gb,4GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,QDP. LPDDR5 (⚠ VDDQ=0.9V — NÃO é LPDDR5X). 32Gb=4GB. BK decode. Galaxy S21/S22 era. Confirmado Samsung Global (32 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LKCKC0BMMFCP,K3LKCKC0BM-MFCP,K3LKCKC0BMMFCP,yes,LPDDR5,LPDDR5,8GB,64Gb,8GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,HDP. LPDDR5. 64Gb=8GB. CK decode. Confirmado Samsung Global (64 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LK7K70BMJGCP,K3LK7K70BM-JGCP,K3LK7K70BMJGCP,yes,LPDDR5,LPDDR5,8GB,64Gb,8GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,HDP. LPDDR5. 64Gb=8GB. 7K decode. Galaxy S22 era. Confirmado Samsung Global (64 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LK2K20BMBGCN,K3LK2K20BM-BGCN,K3LK2K20BMBGCN,yes,LPDDR5,LPDDR5,6GB,48Gb,6GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,HDP. LPDDR5. 48Gb=6GB. 2K decode. Confirmado Samsung Global (48 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LK4K40CMJFCP,K3LK4K40CM-JFCP,K3LK4K40CMJFCP,yes,LPDDR5,LPDDR5,12GB,96Gb,12GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,ODP. LPDDR5. 96Gb=12GB. 4K decode. Galaxy S20 Ultra / S21 Ultra. Confirmado Samsung Global (96 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LK4K40CMBGCP,K3LK4K40CM-BGCP,K3LK4K40CMBGCP,yes,LPDDR5,LPDDR5,12GB,96Gb,12GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,ODP. LPDDR5. 96Gb=12GB. 4K decode. Confirmado Samsung EMEA (96 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LK6K60BMJGCP,K3LK6K60BM-JGCP,K3LK6K60BMJGCP,yes,LPDDR5,LPDDR5,16GB,128Gb,16GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,Multi-stack. LPDDR5. 128Gb=16GB. 6K decode. Flagship 2022+. Confirmado Samsung Global (128 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LK3K30EMBGCN,K3LK3K30EM-BGCN,K3LK3K30EMBGCN,yes,LPDDR5,LPDDR5,8GB,64Gb,8GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,HDP. LPDDR5 gen E (3rd process node). 64Gb=8GB. 3K decode. Confirmado Samsung Global (64 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3LKDKD0CMBGCP,K3LKDKD0CM-BGCP,K3LKDKD0CMBGCP,yes,LPDDR5,LPDDR5,18GB,144Gb,18GB,LPDDR5,2CH x16,1.8V/1.05V/0.9V,6400,,,FBGA,Multi-stack. LPDDR5. 144Gb=18GB. DK decode. Flagship 2023+. Confirmado Samsung Global (144 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3KL3L30CMBGCU,K3KL3L30CM-BGCU,K3KL3L30CMBGCU,yes,LPDDR5X,LPDDR5X,8GB,64Gb,8GB,LPDDR5X,2CH x16,1.8V/1.05V/0.5V,8533,,,FBGA,HDP. LPDDR5X (⚠ VDDQ=0.5V — NÃO trocar socket com LPDDR5 0.9V). 64Gb=8GB. 3L decode. Confirmado Samsung Global (64 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3KL4L40DMBGCU,K3KL4L40DM-BGCU,K3KL4L40DMBGCU,yes,LPDDR5X,LPDDR5X,12GB,96Gb,12GB,LPDDR5X,2CH x16,1.8V/1.05V/0.5V,8533,,,FBGA,ODP. LPDDR5X. 96Gb=12GB. 4L decode. ⚠ CORRIGIDO: 4L=12GB/96Gb (não 16GB — era bug distribuidor). Confirmado Samsung Global (96 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3KL5L50DMBGCU,K3KL5L50DM-BGCU,K3KL5L50DMBGCU,yes,LPDDR5X,LPDDR5X,16GB,128Gb,16GB,LPDDR5X,2CH x16,1.8V/1.05V/0.5V,8533,,,FBGA,Multi-stack. LPDDR5X. 128Gb=16GB. 5L decode. Confirmado Samsung Global (128 Gb).,Samsung Semiconductor Global,confirmed,enriched
K3KL5L50DMJUCU,K3KL5L50DM-JUCU,K3KL5L50DMJUCU,yes,LPDDR5X,LPDDR5X,16GB,128Gb,16GB,LPDDR5X,2CH x16,1.8V/1.05V/0.5V,8533,,,FBGA,Multi-stack. LPDDR5X. 128Gb=16GB. 5L decode. Confirmado Samsung Global (128 Gb).,Samsung Semiconductor Global,confirmed,enriched
