pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
K3LKCKC0BM,K3LKCKC0BMMGCP,K3LKCKC0BM,yes,LPDDR5,LPDDR5 8GB,8GB,64,8,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 8GB Samsung. Gen BM 6400Mbps. LPDDR5_CAP CK=8GB (64Gb). pn[3:5]=CK. Sufixo MGCP. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LKCKC0BM,K3LKCKC0BMMUCP,K3LKCKC0BM,no,LPDDR5,LPDDR5 8GB,8GB,64,8,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 8GB Samsung. Variante sufixo MUCP. Base PN: K3LKCKC0BM. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK7K70BM,K3LK7K70BMBGCP,K3LK7K70BM,yes,LPDDR5,LPDDR5 8GB,8GB,64,8,LPDDR5,,0.5V/1.05V,5500,200,,FBGA,LPDDR5 8GB Samsung 5500Mbps. Gen BM variante 7K. pn[3:5]=7K. Sufixo BGCP. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK7K70BM,K3LK7K70BMJUCP,K3LK7K70BM,no,LPDDR5,LPDDR5 8GB,8GB,64,8,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 8GB Samsung 6400Mbps. Variante sufixo JUCP. Base PN: K3LK7K70BM. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK2K20CM,K3LK2K20CMJFCP,K3LK2K20CM,yes,LPDDR5,LPDDR5 6GB,6GB,48,6,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 6GB Samsung. Gen CM 6400Mbps. LPDDR5_CAP 2K=6GB (48Gb). pn[3:5]=2K. Nova base 2026. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK4K40BM,K3LK4K40BMBGCN,K3LK4K40BM,yes,LPDDR5,LPDDR5 12GB,12GB,96,12,LPDDR5,,0.5V/1.05V,5500,200,,FBGA,LPDDR5 12GB Samsung 5500Mbps. LPDDR5_CAP 4K=12GB (96Gb). pn[3:5]=4K. Sufixo BGCN. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK4K40CM,K3LK4K40CMJHCP,K3LK4K40CM,yes,LPDDR5,LPDDR5 12GB,12GB,96,12,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 12GB Samsung 6400Mbps. Gen CM. pn[3:5]=4K. Sufixo JHCP. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK4K40CM,K3LK4K40CMJUCP,K3LK4K40CM,no,LPDDR5,LPDDR5 12GB,12GB,96,12,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 12GB Samsung 6400Mbps. Variante sufixo JUCP. Base PN: K3LK4K40CM. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK6K60BM,K3LK6K60BMBGCP,K3LK6K60BM,yes,LPDDR5,LPDDR5 16GB,16GB,128,16,LPDDR5,,0.5V/1.05V,5500,200,,FBGA,LPDDR5 16GB Samsung 5500Mbps. LPDDR5_CAP 6K=16GB (128Gb). pn[3:5]=6K. Sufixo BGCP. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
K3LK3K30EM,K3LK3K30EMCGCN,K3LK3K30EM,yes,LPDDR5,LPDDR5 8GB,8GB,64,8,LPDDR5,,0.5V/1.05V,6400,200,,FBGA,LPDDR5 8GB Samsung. Gen EM. LPDDR5_CAP 3K=8GB (64Gb). pn[3:5]=3K. Sufixo CGCN. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
