pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KLUBG4G1CE,KLUBG4G1CE-B0B1,KLUBG4G1CE,yes,UFS,UFS 2.0,32GB,256,32,UFS 2.0,,1.8V/1.2V,700,153,,FBGA,UFS 2.0 Samsung 32GB standalone. pn[3]=B → 32GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-0/klubg4g1ce-b0b1/,Samsung Semiconductor Global,confirmed,enriched
KLUCG4J1BB,KLUCG4J1BB-B0B1,KLUCG4J1BB,yes,UFS,UFS 2.0,64GB,512,64,UFS 2.0,,1.8V/1.2V,700,153,,FBGA,UFS 2.0 Samsung 64GB standalone. pn[3]=C → 64GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-0/klucg4j1bb-b0b1/,Samsung Semiconductor Global,confirmed,enriched
KLUCG4J1CB,KLUCG4J1CB-B0B1,KLUCG4J1CB,yes,UFS,UFS 2.0,64GB,512,64,UFS 2.0,,1.8V/1.2V,700,153,,FBGA,UFS 2.0 Samsung 64GB. Variante sufixo CB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-0/klucg4j1cb-b0b1/,Samsung Semiconductor Global,confirmed,enriched
KLUDG8J1BB,KLUDG8J1BB-B0B1,KLUDG8J1BB,yes,UFS,UFS 2.0,128GB,,,UFS 2.0,,1.8V/1.2V,700,153,,FBGA,UFS 2.0 Samsung 128GB standalone. pn[3]=D → 128GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/us/estorage/ufs/ufs-4-0/klueg4rhhd-b0g1,Samsung Semiconductor Global,confirmed,enriched
KLUDG8J1CB,KLUDG8J1CB-B0B1,KLUDG8J1CB,yes,UFS,UFS 2.0,128GB,,,UFS 2.0,,1.8V/1.2V,700,153,,FBGA,UFS 2.0 Samsung 128GB. Variante sufixo CB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-0/kludg8j1cb-b0b1/,Samsung Semiconductor Global,confirmed,enriched
KLUEG8U1EM,KLUEG8U1EM-B0B1,KLUEG8U1EM,yes,UFS,UFS 2.0,256GB,,,UFS 2.0,,1.8V/1.2V,700,153,,FBGA,UFS 2.0 Samsung 256GB. pn[3]=E → 256GB. Sufixo B0B1 = UFS 2.0. ⚠ Também existe variante B0C1 = UFS 2.1. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-0/klueg8u1em-b0b1/,Samsung Semiconductor Global,confirmed,enriched
KLUBG4G1ZF,KLUBG4G1ZF-B0CP,KLUBG4G1ZF,yes,UFS,UFS 2.1,32GB,256,32,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 32GB. pn[3]=B → 32GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klubg4g1zf-b0cp/,Samsung Semiconductor Global,confirmed,enriched
KLUCG2K1EA,KLUCG2K1EA-B0C1,KLUCG2K1EA,yes,UFS,UFS 2.1,64GB,512,64,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 64GB. pn[3]=C → 64GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klucg4j1ed-b0c1/,Samsung Semiconductor Global,confirmed,enriched
KLUCG2U1YB,KLUCG2U1YB-B0CP,KLUCG2U1YB,yes,UFS,UFS 2.1,64GB,512,64,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 64GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klucg2u1yb-b0cp/,Samsung Semiconductor Global,confirmed,enriched
KLUCG4J1ED,KLUCG4J1ED-B0C1,KLUCG4J1ED,yes,UFS,UFS 2.1,64GB,512,64,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 64GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klucg4j1ed-b0c1/,Samsung Semiconductor Global,confirmed,enriched
KLUCG4J1ZD,KLUCG4J1ZD-B0CP,KLUCG4J1ZD,yes,UFS,UFS 2.1,64GB,512,64,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 64GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klucg4j1zd-b0cp/,Samsung Semiconductor Global,confirmed,enriched
KLUDG4U1EA,KLUDG4U1EA-B0C1,KLUDG4U1EA,yes,UFS,UFS 2.1,128GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 128GB. pn[3]=D → 128GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/kludg4u1ea-b0c1/,Samsung Semiconductor Global,confirmed,enriched
KLUDG4U1FB,KLUDG4U1FB-B0C1,KLUDG4U1FB,yes,UFS,UFS 2.1,128GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 128GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/kludg4u1fb-b0c1/,Samsung Semiconductor Global,confirmed,enriched
KLUDG4U1YB,KLUDG4U1YB-B0CP,KLUDG4U1YB,yes,UFS,UFS 2.1,128GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 128GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/kludg4u1yb-b0cp/,Samsung Semiconductor Global,confirmed,enriched
KLUDG8J1ZD,KLUDG8J1ZD-B0CP,KLUDG8J1ZD,yes,UFS,UFS 2.1,128GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 128GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/kludg8j1zd-b0cp/,Samsung Semiconductor Global,confirmed,enriched
KLUEG8U1EA,KLUEG8U1EA-B0C1,KLUEG8U1EA,yes,UFS,UFS 2.1,256GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 256GB. pn[3]=E → 256GB (SAM_FLASH_CAP). Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klueg8u1ea-b0c1/,Samsung Semiconductor Global,confirmed,enriched
KLUEG8U1YB,KLUEG8U1YB-B0CP,KLUEG8U1YB,yes,UFS,UFS 2.1,256GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 256GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/klueg8u1yb-b0cp/,Samsung Semiconductor Global,confirmed,enriched
KLUEGAJ1ZD,KLUEGAJ1ZD-B0CP,KLUEGAJ1ZD,yes,UFS,UFS 2.1,256GB,,,UFS 2.1,,1.8V/1.2V,1200,153,,FBGA,UFS 2.1 Samsung 256GB. Confirmado semiconductor.samsung.com/estorage/ufs/ufs-2-1/kluegaj1zd-b0cp/,Samsung Semiconductor Global,confirmed,enriched
