pn,pn_raw,base_pn,is_base,chip_type,subtype,capacity,density_gbit,density_gb,interface,organization,voltage,speed_mbps,package_pins,package_size,package_type,notes,source,confidence,status
KM5H80018M,KM5H80018M-B424,KM5H80018M,yes,uMCP,LPDDR4X + UFS 2.1,64GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=H8 → 64GB UFS + 3GB LPDDR4X (24Gb). SAM_EMCP_CAP H8=64GB+3GB (entrada nova). 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5H7001DM,KM5H7001DM-B424,KM5H7001DM,yes,uMCP,LPDDR4X + UFS 2.1,64GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=H7 → 64GB UFS + 4GB LPDDR4X (32Gb). SAM_EMCP_CAP H7=64GB+4GB. ⚠ KM2H7001CM usa H7 com 6GB — shared key conflict. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5P8001DM,KM5P8001DM-B424,KM5P8001DM,yes,uMCP,LPDDR4X + UFS 2.1,64GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=P8 → 64GB UFS + 4GB LPDDR4X (32Gb). Âncora SAM_EMCP_CAP P8=64GB+4GB ✓. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5P9001DM,KM5P9001DM-B424,KM5P9001DM,yes,uMCP,LPDDR4X + UFS 2.2,64GB,,,UFS 2.2,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.2 + LPDDR4X-4266. pn[3:5]=P9 → 64GB UFS + 4GB LPDDR4X (32Gb). SAM_EMCP_CAP P9=64GB+4GB ✓. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5L9000CM,KM5L9000CM-B424,KM5L9000CM,yes,uMCP,LPDDR4X + UFS 2.2,128GB,,,UFS 2.2,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.2 + LPDDR4X-4266. pn[3:5]=L9 → 128GB UFS + 6GB LPDDR4X (48Gb). ⚠ SAM_EMCP_CAP L9=128GB+8GB (âncora KM8L). KM5L9000CM tem 6GB — pn[7]='0' indica variante 6GB. Corrigir via fix_known_parts. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5L9001DM,KM5L9001DM-B424,KM5L9001DM,yes,uMCP,LPDDR4X + UFS 2.2,128GB,,,UFS 2.2,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.2 + LPDDR4X-4266. pn[3:5]=L9 → 128GB UFS + 4GB LPDDR4X (32Gb). ⚠ SAM_EMCP_CAP L9=128GB+8GB — KM5L9001DM tem 4GB (pn[7]='1'=variante 4GB). Corrigir via fix_known_parts. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5V8001DM,KM5V8001DM-B622,KM5V8001DM,yes,uMCP,LPDDR4X + UFS 2.1,128GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=V8 → 128GB UFS + 4GB LPDDR4X (32Gb). Âncora SAM_EMCP_CAP V8=128GB+4GB ✓. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM5C7001DM,KM5C7001DM-B622,KM5C7001DM,yes,uMCP,LPDDR4X + UFS 2.1,64GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=C7 → 64GB UFS + 4GB LPDDR4X (32Gb). Âncora SAM_EMCP_CAP C7=64GB+4GB ✓. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM8F8001JA,KM8F8001JA-B813,KM8F8001JA,yes,uMCP,LPDDR4X + UFS 2.1,256GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=F8 → 256GB UFS + 8GB LPDDR4X (64Gb). ⚠ SAM_EMCP_CAP F8=256GB+12GB (âncora MM). KM8F8001JA tem 8GB — exceção via fix_known_parts. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
KM8F8001JM,KM8F8001JM-B813,KM8F8001JM,yes,uMCP,LPDDR4X + UFS 2.1,256GB,,,UFS 2.1,,1.8V/1.1V,4266,254,,FBGA,uMCP UFS 2.1 + LPDDR4X-4266. pn[3:5]=F8 → 256GB UFS + 8GB LPDDR4X (64Gb). ⚠ SAM_EMCP_CAP F8=256GB+12GB — KM8F8001JM tem 8GB. Corrigir via fix_known_parts. 254-ball FBGA. Confirmado Samsung Semiconductor Global.,Samsung Semiconductor Global,confirmed,enriched
