"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT40A2G4SA-062E:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x4","CL = 22","78-ball","Production","2Gb x4","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A1G8SA-062E AAT:E","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +105C","x8","CL = 22","78-ball","Obsolete","1Gb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A1G16TD-062E AAT:F","16Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +105C","x16","CL = 22","96-ball","Production","1Gb x16","1020","7.50 x 13.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A2G8NEA-062E:R","16Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x8","CL = 22","78-ball","End of Life","2Gb x8","1260","7.50 x 11.00 x 1.20","2000","2","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A2G16TBB-062E:F","32Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x16","CL = 22","96-ball","Production","2Gb x16","1020","7.50 x 13.00 x 1.20","2000","2","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A1G16TB-062E IT:F","16Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x16","CL = 22","96-ball","Production","1Gb x16","1020","7.50 x 13.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16LY-075:E","8Gb","1333MHz","2666MTPS","1.2 VOLTS","0C to +95C","x16","CL = 19","96-ball","End of Life","512Mb x16","1080","7.50 x 13.50 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16TD-062E AAT:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +105C","x16","CL = 22","96-ball","Production","512Mb x16","1020","7.50 x 13.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A2G4SA-075:E","8Gb","1333MHz","2666MTPS","1.2 VOLTS","0C to +95C","x4","CL = 19","78-ball","End of Life","2Gb x4","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A256M16LY-062E:F","4Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x16","CL = 22","96-ball","End of Life","256Mb x16","1080","7.50 x 13.50 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A1G8SA-062E IT:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x8","CL = 22","78-ball","Production","1Gb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16LY-062E IT:E","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x16","CL = 22","96-ball","End of Life","512Mb x16","1080","7.50 x 13.50 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16Z41CWC1","8Gb","","","1.2 VOLTS","0C to +95C","x16","","","Contact Sales","512Mb x16","","","","1","DIE","DDR4","","DRAM"
"MT40A1G8SA-062E AIT:E","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x8","CL = 22","78-ball","End of Life","1Gb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16TD-062E AIT:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x16","CL = 22","96-ball","Production","512Mb x16","1020","7.50 x 13.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M8SA-062E AIT:F","4Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x8","CL = 22","78-ball","Obsolete","512Mb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M8SA-062E:F","4Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x8","CL = 22","78-ball","End of Life","512Mb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16TB-062E:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x16","CL = 22","96-ball","Production","512Mb x16","1020","7.50 x 13.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16TD-062E:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x16","CL = 22","96-ball","End of Life","512Mb x16","1020","7.50 x 13.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A1G8SA-062E:R","8Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x8","CL = 22","78-ball","Production","1Gb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A512M16LY-062E AAT:E","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +105C","x16","CL = 22","96-ball","Obsolete","512Mb x16","1080","7.50 x 13.50 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A1G8SA-062E IT:E","8Gb","1600MHz","3200MTPS","1.2 VOLTS","-40C to +95C","x8","CL = 22","78-ball","End of Life","1Gb x8","1260","7.50 x 11.00 x 1.20","2000","1","COMPONENT","DDR4","TFBGA","DRAM"
"MT40A4G8BAF-062E:B","32Gb","1600MHz","3200MTPS","1.2 VOLTS","0C to +95C","x8","CL = 22","78-ball","Obsolete","4Gb x8","1008","10.50 x 11.00 x 1.20","2000","2","COMPONENT","DDR4","TFBGA","DRAM"
