pn_raw,pn_normalized,chip_type,subtype,capacity,emcp_nand,emcp_ram,interface,package,confidence,source_url,source_tier,source_doc,notes
SDIN7DP2-4G,SDIN7DP24G,eMMC,,4GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN7DP2-4G,1,80-36-03494,iNAND Extreme e.MMC 4.51 (SanDisk marketing diz 4.5=4.51 JEDEC); 4GB; Mouser Tier1 + Octopart 153-FBGA; standalone eMMC NO RAM; obsolete. NOT eMCP (BGA153).
SDIN7DP2-8G,SDIN7DP28G,eMMC,,8GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN7DP2-8G,1,80-36-03494,iNAND Extreme e.MMC 4.51; 8GB; Mouser Tier1 + Octopart 153-pin FBGA; standalone eMMC; obsolete. Família para em 8GB (sem -16G/-32G).
SDIN7DP4-16G,SDIN7DP416G,eMMC,,16GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN7DP4-16G,1,80-36-03494,iNAND Extreme e.MMC 4.51; 16GB; Mouser Tier1. ATENÇÃO: Octopart structured field diz TFBGA-169; descrições de distribuidor dizem 153FBGA 11.5x13mm -> tratado BGA153 até verificação no datasheet completo. HTC One Max.
SDIN7DP4-32G,SDIN7DP432G,eMMC,,32GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN7DP4-32G,1,80-36-03494,iNAND Extreme e.MMC 4.51; 32GB; Mouser Tier1 + datasheet PDF (doc 80-36-03494). Ambiguidade 153 vs 169 balls - verificar datasheet completo 36 pgs.
SDIN7DP4-64G,SDIN7DP464G,eMMC,,64GB,,,eMMC 4.5,,skip,https://www.jotrin.com/product/parts/SDIN7DP4_64G,3,,"Top capacity of DP4 family; only Jotrin (Tier3), no Mouser/DigiKey full table; 169-TFBGA claim unverified. Plausible but NOT Tier1/2 confirmed -> skip, human follow-up."
SDIN7DU2-16G,SDIN7DU216G,eMMC,,16GB,,,eMMC 4.41,,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN7DU2-16G,1,80-36-03666,"iNAND Ultra eMMC 4.41; 16GB; Mouser Tier1 + Octopart. Interface from family datasheet doc 80-36-03666. Package not asserted: agent saw BGA153, WTC notes say 12x16mm(=BGA169) - verify."
SDIN7DU2-32G,SDIN7DU232G,eMMC,,32GB,,,eMMC 4.41,,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN7DU2-32G,1,80-36-03666,iNAND Ultra eMMC 4.41; 32GB; Mouser Tier1. Interface from family datasheet doc 80-36-03666. Package unresolved (BGA153 vs 12x16/169) - verify. SDIN7DU2-4G not found; SDIN7DU4 does not exist.
SDIN8DE1-8G,SDIN8DE18G,eMMC,,8GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk Commercial Embedded Product Brief: SDIN8DE1-8G eMMC 4.51 HS200 8GB; BGA153 11.5x13mm. Family is 8GB-ONLY (no -4G/-16G). Huawei Honor 4X.
SDIN8DE1-8G-I,SDIN8DE18GI,eMMC,,8GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/ProductDetail/SanDisk/SDIN8DE1-8G-I,1,,Mouser Tier1: eMMC 4.51 HS200 8GB Industrial -25..85C; obsolete. -I = industrial variant of SDIN8DE1-8G.
SDIN8DE1-8G-A,SDIN8DE18GA,eMMC,,8GB,,,eMMC 4.51,BGA153,skip,https://www.findic.us/price/sdin8de1-8g-a-dzywVpKEL.html,3,,"Automotive (-A) variant; Tier-3 reseller only. Family specs (8GB, eMMC 4.51, BGA153) from official brief; -A SKU itself not Tier1/2 confirmed."
SDIN8DE4-32G,SDIN8DE432G,eMMC,,32GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk brief: SDIN8DE4-32G eMMC 4.51 HS200 32GB; BGA153 standalone eMMC. REFUTES 12x16mm/RAM hypothesis - NOT eMCP. Octopart corroborates. HTC One E8.
SDIN8DE4-64G,SDIN8DE464G,eMMC,,64GB,,,eMMC 4.51,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk brief: SDIN8DE4-64G eMMC 4.51 HS200 64GB; BGA153 standalone eMMC. Octopart 512Gbit=64GB.
SDIN8DE4-16G,SDIN8DE416G,eMMC,,16GB,,,eMMC 4.51,BGA153,skip,https://octopart.com/part/sandisk/SDIN8DE4-32G,3,,16GB SKU exists (Jotrin/Xecor 'BGA153 EMMC 4.5 16G') but no Tier1/2 spec-table page for the 16G SKU; family eMMC 4.51 BGA153. Ignore reseller 'eMMC 5.1 160/100' (contradicts official 4.51).
SDIN9DS2-8G,SDIN9DS28G,eMMC,,8GB,,,eMMC 5.0,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk brief: SDIN9DS2-8G eMMC 5.0 HS400 8GB; BGA153 (Avnet). Family starts at 8GB (no -4G).
SDIN9DS2-16G,SDIN9DS216G,eMMC,,16GB,,,eMMC 5.0,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk brief: SDIN9DS2-16G eMMC 5.0 HS400 16GB; BGA153. HTC Desire 630 (Rockchip AVL).
SDIN9DS2-32G,SDIN9DS232G,eMMC,,32GB,,,eMMC 5.0,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk brief: SDIN9DS2-32G eMMC 5.0 HS400 32GB; BGA153 11.5x13mm.
SDIN9DS2-64G,SDIN9DS264G,eMMC,,64GB,,,eMMC 5.0,BGA153,confirmed,https://www.mouser.com/datasheet/2/196/sandisk_12282015_Commercial%20Embedded%20Product%20Brief-1096188.pdf,1,,Official SanDisk brief: SDIN9DS2-64G eMMC 5.0 HS400 64GB; BGA153; obsolete.
SDIN9DW4-64G,SDIN9DW464G,eMMC,,64GB,,,eMMC 5.0,BGA153,confirmed,https://www.mouser.com/catalog/specsheets/sandisk_sand-s-a0002571728-1.pdf,1,80-36-03680,Official SanDisk iNAND Extreme datasheet doc 80-36-03680 Rev1.11: SDIN9DW4-64G eMMC 5.0 HS400 64GB 153-ball TFBGA 11.5x13mm. DB already has 16G/32G; family is 16/32/64G ONLY (no 4G/8G).
SDIN5D1-2G,SDIN5D12G,eMMC,,2GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X2 MLC (2GB too small for X3); WD datasheet 80-36-03462 ordering table; full SKU SDIN5D1-2G-L (1.8V I/O); BGA153 11.5x13mm. NOTE: 6th char '1' usually=X3 but this 2G SKU is X2 - exception.
SDIN5D2-4G,SDIN5D24G,eMMC,,4GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X2 MLC; WD datasheet 80-36-03462; full SKU SDIN5D2-4G-L; BGA153 11.5x13mm; ~2011.
SDIN5D2-8G,SDIN5D28G,eMMC,,8GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X2 MLC; WD datasheet 80-36-03462; full SKU SDIN5D2-8G-L; BGA153 11.5x13mm.
SDIN5D2-16G,SDIN5D216G,eMMC,,16GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X2 MLC; WD datasheet 80-36-03462; full SKU SDIN5D2-16G-L; BGA153 11.5x13x1.2mm.
SDIN5D1-4G,SDIN5D14G,eMMC,,4GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462 V1.4 Dec2011; full SKU SDIN5D1-4G-L; BGA153 11.5x13mm.
SDIN5D1-8G,SDIN5D18G,eMMC,,8GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462; SKU SDIN5D1-8G-L / -8G-DC; BGA153.
SDIN5D1-16G,SDIN5D116G,eMMC,,16GB,,,eMMC 4.41,BGA153,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462 (SKU added in rev1.4); SKU SDIN5D1-16G-L; BGA153 11.5x13x1.2mm.
SDIN5C1-4G,SDIN5C14G,eMMC,,4GB,,,eMMC 4.41,BGA169,confirmed,http://otladka.com.ua/doc/components/SDIN5C2.pdf,1,80-36-03433,iNAND X3 MLC; WD datasheet 80-36-03433 V1.3 Dec2010; BGA169 12x16mm standalone eMMC; 4G present in 03433 (dropped in later 03462).
SDIN5C1-8G,SDIN5C18G,eMMC,,8GB,,,eMMC 4.41,BGA169,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462; SKU SDIN5C1-8G-L; Elnec confirms eMMC BGA169 12x16mm.
SDIN5C1-16G,SDIN5C116G,eMMC,,16GB,,,eMMC 4.41,BGA169,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462; Elnec confirms SDIN5C1-16G FBGA169 eMMC; BGA169 12x16mm.
SDIN5C1-32G,SDIN5C132G,eMMC,,32GB,,,eMMC 4.41,BGA169,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462; SKU SDIN5C1-32G-L; BGA169 12x16mm.
SDIN5C1-64G,SDIN5C164G,eMMC,,64GB,,,eMMC 4.41,BGA169,confirmed,http://datasheet.iiic.cc/datasheets-1/sandisk/SDIN5D1-4G-L.pdf,1,80-36-03462,iNAND X3 MLC; WD datasheet 80-36-03462; SKU SDIN5C1-64G-L; BGA169 12x16x1.4mm.
SDIN4C2-4G,SDIN4C24G,eMMC,,4GB,,,,BGA169,skip,https://e2e.ti.com/support/processors-group/processors/f/processors-forum/124680,3,,"Old pre-SDIN5 iNAND (~2010-11, early Galaxy era); eMMC FBGA169 confirmed (TI E2E forum + Elnec); 4GB from suffix. eMMC VERSION (4.3/4.4) NOT stated anywhere - do not infer."
SDIN4C2-8G,SDIN4C28G,eMMC,,8GB,,,,BGA169,skip,https://www.elnec.com/en/device/SanDisk/SDIN4C2-8G-U+%5BFBGA169%5D/,3,,Old pre-SDIN5 iNAND; eMMC FBGA169 confirmed by Elnec + Octopart (4 distributors); SKU SDIN4C2-8G-U; 8GB from suffix. eMMC version NOT stated - do not infer.
SDIN4C2-2G,SDIN4C22G,eMMC,,2GB,,,,BGA169,skip,https://www.win-source.net/memory-sdin4c2-2g.html,3,,Old pre-SDIN5 iNAND; broker-only (Win Source/Veswin); 2GB from suffix; eMMC family (Elnec for 8G sibling). Version NOT stated. SDIN4C4 not found anywhere.
SDIN4C2-16G,SDIN4C216G,eMMC,,16GB,,,,BGA169,skip,https://www.veswin.com/product-SDIN4C2-16G.html,3,,Old pre-SDIN5 iNAND; broker-only (Veswin); 16GB from suffix; eMMC family. Version NOT stated.
SDINBDG4-8G,SDINBDG48G,eMMC,,8GB,,,eMMC 5.1,,confirmed,https://www.verical.com/datasheet/sandisk-nand-flash-sdinbdg4-8g-4059888.pdf,1,PB02-iNAND-7250-US-EN-0817-02,[!] NOT UFS - SDINBDG4 = iNAND 7250 eMMC 5.1 HS400 X2 MLC per official WD product brief. CONTRADICTS WTC grammar 'SDINB=UFS'. 11.5x13x0.8mm. Samsung Galaxy M20 assoc.
SDINBDG4-16G,SDINBDG416G,eMMC,,16GB,,,eMMC 5.1,,confirmed,https://www.verical.com/datasheet/sandisk-nand-flash-sdinbdg4-8g-4059888.pdf,1,PB02-iNAND-7250-US-EN-0817-02,[!] NOT UFS - iNAND 7250 eMMC 5.1; also on sandisk.com mobile-eMMC page. CONTRADICTS WTC grammar 'SDINB=UFS'.
