"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","PIN COUNT","PART STATUS CODE","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT29GZ6A6BPIET-046IT.112","16Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29VZZZCD9GUKPR-046 W.215","1088Gb","NSR","NSR","1.2 VOLTS","-25C to +85C","254-ball","End of Life","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","eMCP TLC LPDDR4","TFBGA","MCP"
"MT29GZ6A6BPIET-53AAT.112","16Gb","1866MHz","3732MTPS","1.8 VOLTS","-40C to +105C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29VZZZ7D8GUFSL-046 W.218","536Gb","","","1.2 VOLTS","-25C to +85C","254-ball","Obsolete","1520","11.50 x 13.00 x 0.90","2000","1","COMPONENT","eMCP TLC LPDDR4","VFBGA","MCP"
"MT29GZ9A9BPMET-046AIT.265","32Gb","NSR","NSR","1.8 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29GZ9A9BPMET-046AAT.265","32Gb","NSR","NSR","1.8 VOLTS","-40C to +105C","149-ball","Contact Sales","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29GZ6A6BPIET-53IT.112","16Gb","1866MHz","3732MTPS","1.8 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29GZ6A6BPIET-53AIT.112","16Gb","1866MHz","3732MTPS","1.8 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29VZZZBD9GULPR-046 W.214","1072Gb","NSR","NSR","1.2 VOLTS","-25C to +85C","254-ball","End of Life","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","eMCP TLC LPDDR4","TFBGA","MCP"
"MT29V5D7GVESL-046I.216","272Gb","","","1.8 VOLTS","-40C to +85C","254-ball","Production","1520","11.50 x 13.00 x 0.90","2000","1","COMPONENT","eMCP TLC LPDDR4","VFBGA","MCP"
"MT29GZ6A9BPGET-046AIT.293","24Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29GZ6A6BPIET-046AAT.112","16Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +105C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29VZZZAD9GUFSM-046 W.213","1056Gb","NSR","NSR","1.2 VOLTS","-25C to +85C","254-ball","End of Life","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","eMCP TLC LPDDR4","VFBGA","MCP"
"MT29GZ6A6BPIET-046AIT.112","16Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +85C","149-ball","Contact Sales","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29GZ6A9BPGET-046AAT.293","24Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +105C","149-ball","Production","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
"MT29GZ9A9BPMET-046AUT.265","32Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +125C","149-ball","Introduction","1260","8.00 x 9.50 x 1.00","2000","1","COMPONENT","NAND MCP SLC LPDDR4","VFBGA","MCP"
