"PART NUMBER","CAPACITY","PROTOCOL","OPERATING TEMP","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","PART TYPE","TECHNOLOGY","FAMILY"
"MTFC256GBCAQTC-AAT","256GB","MMC5.1","-40C to +115C","153-ball","Contact Sales","256Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC8GAMALBH-AIT","64Gb","MMC5.1","-40C to +85C","153-ball","End of Life","8Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC32GAPALBH-AIT","256Gb","MMC5.1","-40C to +85C","153-ball","Obsolete","32Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC16GAPALNA-AIT","128Gb","MMC5.1","-40C to +85C","","End of Life","16Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC128GAXAQEA-WT","1Tb","MMC5.1","-25C to +85C","153-ball","End of Life","128Gb x8","1520","11.50 x 13.00 x 0.80","2000","COMPONENT","eMMC TLC","MCP"
"MTFC256GBCAQTC-IT","256GB","MMC5.1","-40C to +85C","153-ball","Production","256Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GAXAQEA-WT","512Gb","MMC5.1","-25C to +85C","153-ball","End of Life","64Gb x8","1520","11.50 x 13.00 x 0.80","2000","COMPONENT","eMMC TLC","MCP"
"MTFC8GAMALBH-AAT","64Gb","MMC5.1","-40C to +105C","153-ball","End of Life","8Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC128GAZAQJP-AAT","128GB","","-40C to +105C","153-ball","Contact Sales","128Gb x8","1520","11.50 x 13.00 x 1.00","2000","COMPONENT","eMMC TLC","MCP"
"MTFC16GAPALNA-AAT","128Gb","MMC5.1","-40C to +105C","","End of Life","16Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC8GAMALNA-AAT","64Gb","MMC5.1","-40C to +105C","","End of Life","8Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC128GAZAQJP-IT","128GB","","-40C to +85C","153-ball","Production","128Gb x8","1520","11.50 x 13.00 x 1.00","2000","COMPONENT","eMMC TLC","MCP"
"MTFC128GAZAQJP-AIT","128GB","","-40C to +85C","153-ball","End of Life","128Gb x8","1520","11.50 x 13.00 x 1.00","2000","COMPONENT","eMMC TLC","MCP"
"MTFC8GAMALNA-AIT","64Gb","MMC5.1","-40C to +85C","","End of Life","8Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC64GAZAQHD-AIT","64GB","","-40C to +85C","153-ball","End of Life","64Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC32GAPALGT-AIT","256Gb","MMC5.1","-40C to +85C","153-ball","Obsolete","32Gb x8","1520","11.50 x 13.00 x 0.80","2000","COMPONENT","eMMC MLC","MCP"
"MTFC32GAZAQHD-IT","32GB","","-40C to +85C","153-ball","Production","32Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GAZAQHD-IT","64GB","","-40C to +85C","153-ball","Production","64Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC32GBCAQDQ-AAT","32GB","MMC5.1","-40C to +115C","","Contact Sales","32Gb x8","980","14.00 x 18.00 x 1.40","1500","COMPONENT","eMMC TLC","MCP"
"MTFC32GBCAQTC-WT","32GB","MMC5.1","-25C to +85C","153-ball","Production","32Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC32GAPALGT-AAT","256Gb","MMC5.1","-40C to +105C","153-ball","Obsolete","32Gb x8","1520","11.50 x 13.00 x 0.80","2000","COMPONENT","eMMC MLC","MCP"
"MTFC64GBCAQTC-WT","64GB","MMC5.1","-25C to +85C","153-ball","Production","64Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GBCAQTC-AAT","64GB","MMC5.1","-40C to +115C","153-ball","Production","64Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC8GACAEDQ-AAT","64Gb","MMC5.0","-40C to +105C","","Obsolete","8Gb x8","980","14.00 x 18.00 x 1.40","1000","COMPONENT","eMMC MLC","MCP"
"MTFC64GAZAQHD-AAT","64GB","","-40C to +105C","153-ball","Contact Sales","64Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GBCAQTC-AIT","64GB","MMC5.1","-40C to +95C","153-ball","Production","64Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC32GBCAQTC-AAT","32GB","MMC5.1","-40C to +115C","153-ball","Production","32Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC128GAPALNS-AAT","1Tb","MMC5.1","-40C to +105C","153-ball","Obsolete","128Gb x8","1520","11.50 x 13.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC32GBCAQTC-AIT","32GB","MMC5.1","-40C to +95C","153-ball","Production","32Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC16GAPALBH-AAT","128Gb","MMC5.1","-40C to +105C","153-ball","End of Life","16Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC32GAPALNA-AIT","256Gb","MMC5.1","-40C to +85C","","Obsolete","32Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC64GBCAQDQ-AAT","64GB","MMC5.1","-40C to +115C","","Production","64Gb x8","980","14.00 x 18.00 x 1.40","1500","COMPONENT","eMMC TLC","MCP"
"MTFC128GBCAQTC-IT","128GB","MMC5.1","-40C to +85C","153-ball","Production","128Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC32GAPALNA-AAT","256Gb","MMC5.1","-40C to +105C","","Obsolete","32Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC32GAZAQDW-AAT","32GB","MMC5.1","-40C to +105C","","Production","32Gb x8","980","14.00 x 18.00 x 1.50","1500","COMPONENT","eMMC TLC","MCP"
"MTFC64GAZAQHD-WT","64GB","MMC5.1","-25C to +85C","153-ball","Production","64Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC32GBCAQTC-IT","32GB","MMC5.1","-40C to +85C","153-ball","Production","32Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GBCAQTC-IT","64GB","MMC5.1","-40C to +85C","153-ball","Production","64Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC128GBCAQTC-AAT","128GB","","-40C to +115C","153-ball","Production","128Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GAPALNA-AIT","512Gb","MMC5.1","-40C to +85C","","End of Life","64Gb x8","980","14.00 x 18.00 x 1.20","1000","COMPONENT","eMMC MLC","MCP"
"MTFC32GAZAQHD-WT","32GB","MMC5.1","-25C to +85C","153-ball","End of Life","32Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC4GLGDQ-AIT A","32Gb","MMC4.41","-40C to +85C","","Obsolete","4Gb x8","980","14.00 x 18.00 x 1.40","1000","COMPONENT","eMMC MLC","MCP"
"MTFC128GBCAQTC-WT","128GB","MMC5.1","-25C to +85C","153-ball","Production","128Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC128GBCAQTC-AIT","128GB","","-40C to +95C","153-ball","Production","128Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
"MTFC16GAPALBH-AIT","128Gb","MMC5.1","-40C to +85C","153-ball","End of Life","16Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC4GLWDM-4M AAT A","32Gb","MMC4.51","-40C to +105C","153-ball","End of Life","4Gb x8","1520","11.50 x 13.00 x 1.20","2000","COMPONENT","eMMC MLC","MCP"
"MTFC16GAPALGT-AAT","128Gb","MMC5.1","-40C to +105C","153-ball","Obsolete","16Gb x8","1520","11.50 x 13.00 x 0.80","2000","COMPONENT","eMMC MLC","MCP"
"MTFC32GAZAQHD-AAT","32GB","","-40C to +105C","153-ball","Production","32Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GAPALBH-AAT","512Gb","MMC5.1","-40C to +105C","153-ball","Obsolete","64Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC8GAMALHT-AAT","64Gb","MMC5.1","-40C to +105C","","End of Life","8Gb x8","980","14.00 x 18.00 x 1.00","1500","COMPONENT","eMMC MLC","MCP"
"MTFC32GAZAQHD-AIT","32GB","","-40C to +85C","153-ball","Contact Sales","32Gb x8","1520","11.50 x 13.00 x 0.90","2000","COMPONENT","eMMC TLC","MCP"
"MTFC64GAPALBH-AIT","512Gb","MMC5.1","-40C to +85C","153-ball","Obsolete","64Gb x8","1520","11.50 x 13.00 x 1.10","1000","COMPONENT","eMMC MLC","MCP"
"MTFC8GAMALHT-AIT","64Gb","","-40C to +85C","","Obsolete","8Gb x8","980","14.00 x 18.00 x 1.00","1500","COMPONENT","eMMC MLC","MCP"
"MTFC256GBCAQTC-WT","256GB","MMC5.1","-25C to +85C","153-ball","Contact Sales","256Gb x8","1520","11.50 x 13.00 x 1.30","2000","COMPONENT","eMMC TLC","MCP"
