"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","BUS WIDTH","CAS LATENCY","PIN COUNT","PART STATUS CODE","COMPONENT CONFIG","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT62F512M32D1DS-023 FAAT:E","16Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Production","512Mb x32","1050","12.40 x 15.00 x 1.10","2000","1","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8DL-023 WT:C","16GB","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","","Obsolete","2Gb x64","1190","14.00 x 12.40 x 0.51","2500","8","COMPONENT","LPDDR5","UFLGA","DRAM"
"MT62F3G32D8DV-023 WT:C","96Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","3Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F4G32D8DV-023FAUT:C","128Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Obsolete","4Gb x32","1050","12.40 x 15.00 x 1.30","2000","8","COMPONENT","LPDDR5","LFBGA","DRAM"
"MT62F1536M32D4DS-023 WT:B","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","End of Life","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-023 WT:F","64Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Sampling","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M32D4DS-023 WT:C","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x32","CL = Programmable","315-ball","Production","1.5Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-023 AIT:B","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","End of Life","768Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-023 WT:C","128Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Production","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G32D4DS-023 FAAT:C","64Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +105C","x32","CL = Programmable","315-ball","Contact Sales","2Gb x32","1050","12.40 x 15.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-023 WT:F","128Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Sampling","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4ZU-023 WT:B","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","496-ball","End of Life","768Mb x64","1190","14.00 x 12.40 x 0.65","2500","4","COMPONENT","LPDDR5","UFBGA","DRAM"
"MT62F768M64D4EK-023 AAT:C","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Contact Sales","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-023 AAT:B","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Obsolete","768Mb x64","1190","14.00 x 14.00 x 1.10","1500","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8EK-023 WT:B","128Gb","4266MHz","8533MTPS","0.5 VOLTS","-25C to +85C","x64","CL = Programmable","441-ball","Contact Sales","2Gb x64","1190","14.00 x 14.00 x 1.10","2000","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F512M64D2EK-023 FAAT:E","32Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","441-ball","Production","512Mb x64","1190","14.00 x 14.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1536M64D8CZ-023 FAAT:C","96Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +105C","x64","CL = Programmable","561-ball","Production","1.5Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M64D4EK-023 AIT:C","48Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Production","768Mb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F2G64D8CZ-023FAIT:C","128Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","561-ball","End of Life","2Gb x64","1020","8.00 x 12.40 x 1.20","2500","8","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F768M32D2DS-023 AUT:C","24Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +125C","x32","CL = Programmable","315-ball","Production","768Mb x32","1050","12.40 x 15.00 x 1.10","2000","2","COMPONENT","LPDDR5","TFBGA","DRAM"
"MT62F1G64D4EK-023 FAIT:C","64Gb","4266MHz","8533MTPS","0.5 VOLTS","-40C to +95C","x64","CL = Programmable","441-ball","Production","1Gb x64","1190","14.00 x 14.00 x 1.10","2000","4","COMPONENT","LPDDR5","TFBGA","DRAM"
