"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","OPERATING TEMP","PIN COUNT","PART STATUS CODE","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT29GZ5A5BPGGA-046AAT.87J","8Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +105C","149-ball","Production","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29C4G48MAZBBAKB-48 IT","6Gb","208MHz","416MTPS","1.8 VOLTS","-40C to +85C","168-ball","Obsolete","1008","12.00 x 12.00 x 0.80","1000","1","COMPONENT","NAND MCP SLC LPDDR","WFBGA","MCP"
"MT29C4G48MAZBBAKS-48 IT","6Gb","208MHz","416MTPS","1.8 VOLTS","-40C to +85C","137-ball","Obsolete","1140","10.50 x 13.00 x 1.00","1000","1","COMPONENT","NAND MCP SLC LPDDR","VFBGA","MCP"
"MT29C4G48MAYBBAKS-48 IT","6Gb","208MHz","416MTPS","1.8 VOLTS","-40C to +85C","137-ball","End of Life","1140","10.50 x 13.00 x 1.00","1000","1","COMPONENT","NAND MCP SLC LPDDR","VFBGA","MCP"
"MT29GZ5A5BPGGA-53IT.87J","8Gb","200MHz","400MTPS","3.3 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29GZ5A3BPGGA-046IT.87K","6Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +85C","149-ball","Obsolete","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29C4G48MAYBBAMR-48 IT","6Gb","208MHz","416MTPS","1.8 VOLTS","-40C to +85C","130-ball","Obsolete","1782","8.00 x 9.00 x 1.00","1000","1","COMPONENT","NAND MCP SLC LPDDR","VFBGA","MCP"
"MT29GZ5A5BPGGA-53AIT.87J","8Gb","1866MHz","3732MTPS","0.6 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29GZ5A5BPGGA-046IT.87J","8Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +85C","149-ball","Production","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29GZ5A3BPGGA-53AIT.87K","6Gb","1866MHz","3732MTPS","1.8 VOLTS","-40C to +95C","149-ball","End of Life","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29GZ5A5BPGGA-046AIT.87J","8Gb","2133MHz","4266MTPS","1.8 VOLTS","-40C to +85C","149-ball","Contact Sales","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
"MT29GZ5A5BPGGA-53AAT.87J","8Gb","200MHz","400MTPS","3.3 VOLTS","-40C to +105C","149-ball","Contact Sales","1260","8.00 x 9.50 x 0.80","2000","1","COMPONENT","NAND MCP SLC LPDDR4","WFBGA","MCP"
