pn,brand_name,chip_type,subtype,interface,capacity,emcp_nand,emcp_ram,package,nand_gen,source_url,confidence,notes
THGJFPT0E18BAIP,Kioxia,UFS,UFS Kioxia,UFS 3.1,128GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.8mm.
THGJFPT1E28BAIP,Kioxia,UFS,UFS Kioxia,UFS 3.1,256GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.8mm.
THGJFPT2E48BAIP,Kioxia,UFS,UFS Kioxia,UFS 3.1,512GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.8mm.
THGJFMT1E45BATV,Kioxia,UFS,UFS Kioxia,UFS 4.0,256GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 9.0x13.0x0.8mm.
THGJFMT2E46BATV,Kioxia,UFS,UFS Kioxia,UFS 4.0,512GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 9.0x13.0x0.8mm.
THGJFMT3E86BATZ,Kioxia,UFS,UFS Kioxia,UFS 4.0,1TB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 9.0x13.0x0.9mm.
THGJFRT1E45BATV,Kioxia,UFS,UFS Kioxia,UFS 4.1,256GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 9.0x13.0x0.8mm.
THGJFRT2E48BATV,Kioxia,UFS,UFS Kioxia,UFS 4.1,512GB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 9.0x13.0x0.8mm.
THGJFRT3E88BATW,Kioxia,UFS,UFS Kioxia,UFS 4.1,1TB,,,,,https://www.kioxia.com/content/dam/kioxia/shared/business/memory/mlc-nand/asset/productbrief/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 9.0x13.0x0.85mm.
THGAF8G8T23BAIL,Kioxia,UFS,UFS Kioxia,UFS 2.1,32GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.5x13.0x0.8mm. Prefixo THGAF (geracao UFS 2.1).
THGAF8G9T43BAIR,Kioxia,UFS,UFS Kioxia,UFS 2.1,64GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.5x13.0x1.0mm. Prefixo THGAF (geracao UFS 2.1).
THGJFAT0T44BAIL,Kioxia,UFS,UFS Kioxia,UFS 3.1,128GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.5x13.0x0.8mm.
THGJFAT1T84BAIR,Kioxia,UFS,UFS Kioxia,UFS 3.1,256GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.5x13.0x1.0mm.
THGJFGT1E45BAIP,Kioxia,UFS,UFS Kioxia,UFS 3.1,256GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.8mm.
THGJFAT2T84BAIR,Kioxia,UFS,UFS Kioxia,UFS 3.1,512GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.5x13.0x1.0mm.
THGJFGT2T85BAIU,Kioxia,UFS,UFS Kioxia,UFS 3.1,512GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x1.0mm.
THGJFHT3TB4BAIG,Kioxia,UFS,UFS Kioxia,UFS 3.1,1TB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.5x13.0x1.2mm.
THGJFJT0E25BAIP,Kioxia,UFS,UFS Kioxia,UFS 4.0,128GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.8mm.
THGJFJT1E45BATP,Kioxia,UFS,UFS Kioxia,UFS 4.0,256GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.8mm.
THGJFJT2T85BAT0,Kioxia,UFS,UFS Kioxia,UFS 4.0,512GB,,,,,https://americas.kioxia.com/content/dam/kioxia/en-us/business/application/iot/asset/KIOXIA_UFS_Product_Brief.pdf,confirmed,Consumer grade; -25 a 85C; BiCS FLASH 3D; pacote 11.0x13.0x0.95mm.
