"PART NUMBER","COMPONENT DENSITY","SPEED","MT/S","I/O VOLTAGE","PROTOCOL","OPERATING TEMP","PIN COUNT","PART STATUS CODE","DRY PACK QTY","PACKAGE DIMENSION (W X L X H) MM","TAPE & REEL QTY","NUMBER OF COMPONENTS","PART TYPE","TECHNOLOGY","PACKAGE","FAMILY"
"MT29VZZZBD81SLSL-046 W.22D","560Gb","NSR","NSR","1.1 VOLTS","UFS2.2","-25C to +85C","254-ball","End of Life","1520","11.50 x 13.00 x 0.90","2000","1","COMPONENT","uMCP TLC LPDDR4","VFBGA","MCP"
"MT30AZZZCDA0TKQS-031 W.20V","2112Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT29VZZZDDA2XOPR-046 W.24L","2144Gb","NSRMHz","1000MTPS","1.8 VOLTS","UFS2.2","-25C to +85C","254-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR4","TFBGA","MCP"
"MT29VZZZBDA1SKPR-046 W.12O","2096Gb","NSR","NSR","1.2 VOLTS","UFS2.2","-25C to +85C","254-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","","TFBGA","MCP"
"MT30AZZZDDA0TPQS-031 WD.19Q","2144Gb","NSR","","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZDDB0TPWL-031 WL.19R","4192Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","End of Life","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZDDB0TPWL-031 W.19R","4192Gb","NSRMHz","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","End of Life","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZEDB0TPEQ-031 W ES.20Z","4224Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Engineering Sample","1520","11.50 x 13.00 x 1.30","2000","1","","","LFBGA","MCP"
"MT30AZZZCDA0TKQS-023 W.23W","2112Gb","NSRMHz","1600MTPS","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZDDB0TPWL-031 WD.19R","4192Gb","NSR","","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZCD90TKXM-031 W.20T","1088Gb","NSR","NSR","1.2 VOLTS","","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","uMCP TLC LPDDR5","VFBGA","MCP"
"MT29VZZZBD91SKSM-046 W.12N","1072Gb","NSR","NSR","1.2 VOLTS","UFS2.2","-25C to +85C","254-ball","Obsolete","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","","VFBGA","MCP"
"MT30AZZZDDB0TPWL-031 WM.19R","4192Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZCDA0TKQS-031 WD.20V","2112Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT29VZZZAD8FQFSL-046 W.G8K","544Gb","NSR","NSR","1.8 VOLTS","UFS2.1","-55C to +85C","254-ball","Obsolete","1520","11.50 x 13.00 x 0.90","2000","1","COMPONENT","","VFBGA","MCP"
"MT29VZZZAD8GQFSL-046 W.9R8","544Gb","NSR","NSR","1.8 VOLTS","MMC5.1","-25C to +85C","254-ball","Obsolete","1520","11.50 x 13.00 x 0.90","2000","1","COMPONENT","eMCP TLC LPDDR4","VFBGA","MCP"
"MT30AZZZDDA4TOXM-023 W.274","2144Gb","4266MHz","2000MTPS","1.2 VOLTS","","-25C to +85C","297-ball","Sampling","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","uMCP TLC LPDDR5","VFBGA","MCP"
"MT30AZZZCD90TKXM-031 WD.20T","1088Gb","NSR","NSR","1.2 VOLTS","","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","uMCP TLC LPDDR5","VFBGA","MCP"
"MT30AZZZDDA0TPQS-031 WL.19Q","2144Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","End of Life","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZEDA0TPWL-031 W.20W","2176Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZCDA4TKXL-023 W.273","2112Gb","4266MHz","2000MTPS","1.2 VOLTS","","-25C to +85C","297-ball","Sampling","1520","11.50 x 13.00 x 0.90","2000","1","COMPONENT","uMCP TLC LPDDR5","VFBGA","MCP"
"MT30AZZZCDB0TKWL-031 WD.20X","4160Gb","NSR","NSR","1.2 VOLTS","","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZDDA0TPQS-031 WM.19Q","2144Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZDDA0TPQS-026 W.19Q","2144Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT30AZZZBD90TKXM-031 WD.197","1072Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","uMCP TLC LPDDR5","VFBGA","MCP"
"MT30AZZZCDBZTPEQ-031 W.16D","4160Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.30","2000","1","COMPONENT","","LFBGA","MCP"
"MT30AZZZBD90TKXM-031 W.197","1072Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.00","2000","1","COMPONENT","uMCP TLC LPDDR5","VFBGA","MCP"
"MT29VZZZ7D81SFSL-046 W.22B","536Gb","NSR","NSR","1.1/0.6 VOLTS","UFS2.2","-25C to +85C","254-ball","Production","1520","11.50 x 13.00 x 0.90","2000","1","","","VFBGA","MCP"
"MT30AZZZCDB0TKWL-031 W.20X","4160Gb","NSR","NSR","1.2 VOLTS","","-25C to +85C","297-ball","End of Life","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","uMCP TLC LPDDR5","TFBGA","MCP"
"MT29VZZZBDA1SLPR-046 W.17Z","2096Gb","NSR","NSR","1.2 VOLTS","UFS2.2","-25C to +85C","254-ball","End of Life","1520","11.50 x 13.00 x 1.10","2000","1","COMPONENT","uMCP TLC LPDDR4","TFBGA","MCP"
"MT30AZZZCDAZTPWL-031 W.16C","2112Gb","NSR","NSR","1.2 VOLTS","UFS3.1","-25C to +85C","297-ball","Obsolete","1520","11.50 x 13.00 x 1.20","2000","1","COMPONENT","","TFBGA","MCP"
