PART NUMBER,CAPACITY,PROTOCOL,OPERATING TEMP,PIN COUNT,PART STATUS CODE,COMPONENT CONFIG,DRY PACK QTY,PACKAGE DIMENSION (W X L X H) MM,TAPE & REEL QTY,PART TYPE,TECHNOLOGY,FAMILY
MTFC64GASAONS-AAT,512Gb,UFS2.1,-40C to +105C,153-ball,End of Life,64Gb x8,1520,11.50 x 13.00 x 1.20,2000,COMPONENT,UFS TLC,MCP
MTFC64GBCAVAL-AAT,64GB,UFS3.1,-40C to +115C,153-ball,Contact Sales,64Gb x8,1520,11.50 x 13.00 x 1.00,2000,COMPONENT,UFS TLC,MCP
MTFC256GBCAVTC-AIT,256GB,UFS3.1,-40C to +95C,153-ball,Production,256Gb x8,1520,11.50 x 13.00 x 1.30,2000,COMPONENT,UFS TLC,MCP
MTFC256GAXATEA-WT,2048Gb,,-25C to +85C,153-ball,Obsolete,256Gb x8,1520,11.50 x 13.00 x 0.80,2000,COMPONENT,UFS TLC,MCP
MTFC128GASAONS-AIT,1024Gb,UFS2.1,-40C to +95C,153-ball,End of Life,128Gb x8,1520,11.50 x 13.00 x 1.20,2000,COMPONENT,UFS TLC,MCP
MTFC128GAZAOTD-AAT,128GB,,-40C to +105C,153-ball,End of Life,128Gb x8,1520,11.50 x 13.00 x 1.20,2000,COMPONENT,UFS TLC,MCP
MTFC256GAVATTC-AAT,256GB,,-40C to +105C,153-ball,End of Life,256Gb x8,1520,11.50 x 13.00 x 1.30,2000,COMPONENT,UFS TLC,MCP
MTFC256GAVATTC-AIT,256GB,,-40C to +95C,153-ball,Obsolete,256Gb x8,1520,11.50 x 13.00 x 1.30,2000,COMPONENT,UFS TLC,MCP
MTFC256GASAONS-AAT,2048Gb,UFS2.1,-40C to +105C,153-ball,End of Life,256Gb x8,1520,11.50 x 13.00 x 1.20,2000,COMPONENT,UFS TLC,MCP
MTFC64GASAONS-AIT,512Gb,UFS2.1,-40C to +95C,153-ball,End of Life,64Gb x8,1520,11.50 x 13.00 x 1.20,2000,COMPONENT,UFS TLC,MCP
