part_number,brand,family,known_chip_type,current_shown_type,confidence,fbga_code,dead_by_generation,source_url
MT29TZZZ7D7EKKBT-107 W.97V,Micron,MT29TZZZ,uMCP,eMCP,confirmed,JZ013,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29TZZZ8D6DKEZB-107 W.9H6,Micron,MT29TZZZ,uMCP,eMCP,confirmed,JZ089,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29tzzz8d6dkezb-107-w.9h6
MT29TZZZAD8DKKFB-107 W ES.9N8,Micron,MT29TZZZ,uMCP,eMCP,confirmed,JZ127,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29tzzzad8dkkfb-107-w-es.9n8
MT29VZZZ5D8JQFSL-053 I ES.95Z,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ140,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzz5d8jqfsl-053-i-es.95z
MT29VZZZ5D8JQFSL-053 I.95Z,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ141,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzz5d8jqfsl-053-i.95z
MT29VZZZ7D7DQKWL-053 W.97Y,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ083,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZ7D81SFSL-046 W ES.22B,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ437,NAO,https://www.micron.com/content/micron/us/en/sales-support/design-tools/fbga-parts-decoder/_jcr_content.products.json/getpartbyfbgacode/-/-/-/en_US/-/MT29VZZZ7D81SFSL/-
MT29VZZZ7D8DQFSL-046 W.9J8,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ090,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzz7d8dqfsl-046-w.9j8
MT29VZZZ7D8FQFSL-046 W ES.11K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ247,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZ7D8FQFSL-046 W.11K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ246,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzz7d8fqfsl-046-w.11k
MT29VZZZ7D8GQFSL-046 W.9P8,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ185,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzz7d8gqfsl-046-w.9p8
MT29VZZZAC8FQKSL-053 W ES.G8F,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ073,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZAC8FQKSL-053 W.G8F,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ074,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZAD8DQKSL-046 W ES.9K8,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ108,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad8dqksl-046-w-es.9k8
MT29VZZZAD8DQKSL-046 W.9K8,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ109,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad8dqksl-046-w.9k8
MT29VZZZAD8FQFSL-046 W ES.G8K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ176,NAO,https://www.micron.com/content/micron/us/en/sales-support/design-tools/fbga-parts-decoder/_jcr_content.products.json/getpartbyfbgacode/-/-/-/en_US/-/MT29VZZZAD8FQFSL/-
MT29VZZZAD8FQFSL-046 WJ.G8K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ276,NAO,https://www.micron.com/content/micron/us/en/sales-support/design-tools/fbga-parts-decoder/_jcr_content.products.json/getpartbyfbgacode/-/-/-/en_US/-/MT29VZZZAD8FQFSL/-
MT29VZZZAD8FQKSL-046 W ES.11V,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ252,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZAD8FQKSL-046 W ES.12H,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ256,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZAD8FQKSL-046 W.11V,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ251,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad8fqksl-046-w.11v
MT29VZZZAD8FQKSL-046 W.12H,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ255,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad8fqksl-046-w.12h
MT29VZZZAD8HQKWL-053 W.G8C,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ048,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad8hqkwl-053-w.g8c
MT29VZZZAD92XFSL-046 W.176,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ513,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad92xfsl-046-w.176
MT29VZZZAD9DQKSM-046 W ES.9K9,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ104,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9dqksm-046-w-es.9k9
MT29VZZZAD9DQKSM-046 W.9K9,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ103,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9dqksm-046-w.9k9
MT29VZZZAD9FQFSM-046 W ES.G9K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ153,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9fqfsm-046-w-es.g9k
MT29VZZZAD9FQFSM-046 W.G9K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ150,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9fqfsm-046-w.g9k
MT29VZZZAD9FQFSM-046 WJ.G9K,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ271,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9fqfsm-046-wj.g9k
MT29VZZZAD9FQKSM-046 W ES.12I,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ260,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZAD9FQKSM-046 W.11U,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ250,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9fqksm-046-w.11u
MT29VZZZAD9FQKSM-046 W.12I,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ259,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9fqksm-046-w.12i
MT29VZZZAD9GQFSM-046 W.9S9,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ187,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzad9gqfsm-046-w.9s9
MT29VZZZBC9FQOPR-053 W ES.G9G,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ071,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZBC9FQOPR-053 W.G9G,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ070,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZBD81SLSL-046 W ES.22D,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ438,NAO,https://www.micron.com/content/micron/us/en/sales-support/design-tools/fbga-parts-decoder/_jcr_content.products.json/getpartbyfbgacode/-/-/-/en_US/-/MT29VZZZBD81SLSL/-
MT29VZZZBD8FQKSM-046 W ES.G8J,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ169,NAO,https://www.micron.com/sales-support/design-tools/fbga-parts-decoder
MT29VZZZBD8FQKSM-046 W.G8J,Micron,MT29VZZZ,uMCP,eMCP,confirmed,JZ168,NAO,https://www.micron.com/products/obsolete/obsolete-umcp-catalog/part-catalog/part-detail/mt29vzzzbd8fqksm-046-w.g8j
